Source,Target,,
kikiabdulaziz,persib ,,
NitJeffrey,persib ,,
arisenacakra881,ThaiFootballs ,,
alvinpriyn,ThaiFootballs ,,
jak477,VikingUinJkt ,,
Ed_Tejasukmana,VikingUinJkt ,,
yogaadiee_,AzzahrahSyifa_ ,,
yogaadiee_,persib ,,
ariefarid,AzzahrahSyifa_ ,,
farizku_fariz,ekowBoy ,,
skrrrahh,ekowBoy ,,
WisnuSubarkah4,persib ,,
jak477,persib ,,
Aassaddd,ThaiFootballs ,,
Karuhun2395354,tribunjabar ,,
wellykeling3,ThaiFootballs ,,
latjumalatpilat,Gilang_Mahesa ,,
latjumalatpilat,persib ,,
JuaraMaung,IndosiarID ,,
JuaraMaung,IndosiarSports ,,
AcenkkFaper,Bolalob ,,
yogikusuma1933,bonekcasuals ,,
yogikusuma1933,persib ,,
HernadiDian,persib ,,
abroy_kurniawan,ThaiFootballs ,,
Rie_arisman_,ThaiFootballs ,,
fujaayFuji,VikingUinJkt ,,
RakaFMBandung,VikingUinJkt ,,
jak477,AzzahrahSyifa_ ,,
jak477,persib ,,
Niink_,AzzahrahSyifa_ ,,
bonaagultom,ekowBoy ,,
AlbertWDNamara,ekowBoy ,,
aNandarr58,persib ,,
tobeandri,persib ,,
MohFirdausA,ThaiFootballs ,,
lramadhan_,tribunjabar ,,
destriapnr,ThaiFootballs ,,
EkaKhoiriyahAf1,Gilang_Mahesa ,,
EkaKhoiriyahAf1,persib ,,
aditya_agaasa,IndosiarID ,,
aditya_agaasa,IndosiarSports ,,
AhmadRu02715455,Bolalob ,,
juna_jundi,bonekcasuals ,,
juna_jundi,persib ,,
akmal_ilham,persib ,,
ariskaandreani,ThaiFootballs ,,
persi85alawasna,ThaiFootballs ,,
zazin99,VikingUinJkt ,,
zazin99,VikingUinJkt ,,
AliYRamdhani,AzzahrahSyifa_ ,,
AliYRamdhani,persib ,,
Loyalapprl,AzzahrahSyifa_ ,,
TiPersib,ekowBoy ,,
Riankumis,ekowBoy ,,
GianVialli,persib ,,
septianmiqbal1,persib ,,
GianVialli,ThaiFootballs ,,
MaungFootball,tribunjabar ,,
rahmanuri_s,ThaiFootballs ,,
EkaKhoiriyahAf1,Gilang_Mahesa ,,
EkaKhoiriyahAf1,persib ,,
JuaraMaung,IndosiarID ,,
JuaraMaung,IndosiarSports ,,
ariskaandreani,Bolalob ,,
destriapnr,bonekcasuals ,,
destriapnr,persib ,,
mam_fuz,persib ,,
MuhamadAri1933,ThaiFootballs ,,
RakaFMBandung,ThaiFootballs ,,
aldibrama,VikingUinJkt ,,
kurakuraninjaid,VikingUinJkt ,,
infobola777,AzzahrahSyifa_ ,,
infobola777,persib ,,
kurakuraninjaid,AzzahrahSyifa_ ,,
RakaFMBandung,ekowBoy ,,
balax33,ekowBoy ,,
ibnusetyawan08,persib ,,
Rullyazlam20,persib ,,
RMahmudah06,ThaiFootballs ,,
anyaishh,tribunjabar ,,
sonorasurabaya,ThaiFootballs ,,
Dodot99117841,Gilang_Mahesa ,,
Dodot99117841,persib ,,
ikanggg,IndosiarID ,,
ikanggg,IndosiarSports ,,
iman_prass,Bolalob ,,
Kolovaking33_,bonekcasuals ,,
Kolovaking33_,persib ,,
Harryyy_28,persib ,,
balax33,ThaiFootballs ,,
destriapnr,ThaiFootballs ,,
Sujang72096978,VikingUinJkt ,,
arjunfirdaus_,VikingUinJkt ,,
ceceplaksana,AzzahrahSyifa_ ,,
ceceplaksana,persib ,,
JuaraMaung,AzzahrahSyifa_ ,,
Lutfilupek_,ekowBoy ,,
AlbertWDNamara,ekowBoy ,,
Ukon_Nugraha,persib ,,
MHadiyanR,persib ,,
Anzharpr,ThaiFootballs ,,
Hanif_S93,tribunjabar ,,
Dodot99117841,ThaiFootballs ,,
feradikaasman,Gilang_Mahesa ,,
feradikaasman,persib ,,
Hanif_S93,IndosiarID ,,
Hanif_S93,IndosiarSports ,,
indradanmarboro,Bolalob ,,
willyangamayana,bonekcasuals ,,
willyangamayana,persib ,,
febriandisurya,persib ,,
Uswah2012,ThaiFootballs ,,
EngkusIskandar,ThaiFootballs ,,
grinsharkgrin,VikingUinJkt ,,
YayanSo94162730,VikingUinJkt ,,
KikiRiszki2,AzzahrahSyifa_ ,,
KikiRiszki2,persib ,,
K_conk_ARJ,AzzahrahSyifa_ ,,
tikusgod43,ekowBoy ,,
rayhantaswin,ekowBoy ,,
RahmawatiTahira,persib ,,
Indyazzinedine,persib ,,
firmankuda,ThaiFootballs ,,
arifinonboard,tribunjabar ,,
maungcyber,ThaiFootballs ,,
LucazFranck,Gilang_Mahesa ,,
LucazFranck,persib ,,
Hanif_S93,IndosiarID ,,
Hanif_S93,IndosiarSports ,,
wasitgoblog12,Bolalob ,,
elansuh34270070,bonekcasuals ,,
elansuh34270070,persib ,,
insunpredator,persib ,,
Andristione,ThaiFootballs ,,
0292crew,ThaiFootballs ,,
33_gaganalgarni,VikingUinJkt ,,
AliflazuardhiA,VikingUinJkt ,,
0292crew,AzzahrahSyifa_ ,,
0292crew,persib ,,
r10_dm,AzzahrahSyifa_ ,,
_sandysyarif,ekowBoy ,,
ali_dakir30,ekowBoy ,,
Zonabiru_scity,persib ,,
Ukon_Nugraha,persib ,,
alfian4774,ThaiFootballs ,,
alfian4774,tribunjabar ,,
Ukon_Nugraha,ThaiFootballs ,,
yuniarayun,Gilang_Mahesa ,,
yuniarayun,persib ,,
Chandra_Febryan,IndosiarID ,,
Chandra_Febryan,IndosiarSports ,,
willyangamayana,Bolalob ,,
ahmaddeden6561,bonekcasuals ,,
ahmaddeden6561,persib ,,
mochamadramdan_,persib ,,
Lip6Sport,ThaiFootballs ,,
Ujangrasamelon,ThaiFootballs ,,
yayahh22,VikingUinJkt ,,
novia_nurhayati,VikingUinJkt ,,
mulyadi2406,AzzahrahSyifa_ ,,
mulyadi2406,persib ,,
BBTHLayarKaca,AzzahrahSyifa_ ,,
novia_nurhayati,ekowBoy ,,
Ukon_Nugraha,ekowBoy ,,
zalcahyor,persib ,,
zalcahyor,persib ,,
wachyumkiji,ThaiFootballs ,,
Ruslana95444404,tribunjabar ,,
nugrahaadii3,ThaiFootballs ,,
niemaunggeuliz,Gilang_Mahesa ,,
niemaunggeuliz,persib ,,
MaungFootball,IndosiarID ,,
MaungFootball,IndosiarSports ,,
Ukon_Nugraha,Bolalob ,,
RMahmudah06,bonekcasuals ,,
RMahmudah06,persib ,,
anugroho1977,persib ,,
ivooxid,ThaiFootballs ,,
Rendi_Pratamax,ThaiFootballs ,,
RMahmudah06,VikingUinJkt ,,
RMahmudah06,VikingUinJkt ,,
Santoso_Saja1,AzzahrahSyifa_ ,,
Santoso_Saja1,persib ,,
OyondDiavolo,AzzahrahSyifa_ ,,
echo_redcurva,ekowBoy ,,
mentariaprilli1,ekowBoy ,,
abdulrasyid61,persib ,,
pemeranlakon,persib ,,
adityawp__,ThaiFootballs ,,
Damar98cempor,tribunjabar ,,
RMahmudah06,ThaiFootballs ,,
airfan_air,Gilang_Mahesa ,,
airfan_air,persib ,,
yudaHP33_,IndosiarID ,,
yudaHP33_,IndosiarSports ,,
cikyber,Bolalob ,,
gakbrenti,bonekcasuals ,,
gakbrenti,persib ,,
cikyber,persib ,,
jakmania_lombok,ThaiFootballs ,,
acha_sopiyan,ThaiFootballs ,,
TiPersib,VikingUinJkt ,,
ferliangga1928,VikingUinJkt ,,
AmsoriPedet,AzzahrahSyifa_ ,,
AmsoriPedet,persib ,,
mentariaprilli1,AzzahrahSyifa_ ,,
JustSipirilli,ekowBoy ,,
ekacioda46,ekowBoy ,,
ferliangga1928,persib ,,
creensley,persib ,,
mentariaprilli1,ThaiFootballs ,,
CilebutDani,tribunjabar ,,
ferliangga1928,ThaiFootballs ,,
ziberrcom,Gilang_Mahesa ,,
ziberrcom,persib ,,
raflyalmsyah,IndosiarID ,,
raflyalmsyah,IndosiarSports ,,
SFS_303,Bolalob ,,
mentariaprilli1,bonekcasuals ,,
mentariaprilli1,persib ,,
niemaunggeuliz,persib ,,
Ekosaputra1Doni,ThaiFootballs ,,
beritabandung1,ThaiFootballs ,,
BeweckPratama,VikingUinJkt ,,
ADevasandi,VikingUinJkt ,,
dulhafizh,AzzahrahSyifa_ ,,
dulhafizh,persib ,,
oddingcheper,AzzahrahSyifa_ ,,
oddingcheper,ekowBoy ,,
iambudii,ekowBoy ,,
Jejen120986,persib ,,
diomalik,persib ,,
oddingcheper,ThaiFootballs ,,
gladi_ad,tribunjabar ,,
spirit_1945,ThaiFootballs ,,
MJamal33,Gilang_Mahesa ,,
MJamal33,persib ,,
19Muhamad,IndosiarID ,,
19Muhamad,IndosiarSports ,,
RHtobi3,Bolalob ,,
spirit_1945,bonekcasuals ,,
spirit_1945,persib ,,
Ronizukipurnama,persib ,,
andri000me_2,ThaiFootballs ,,
ApriNort33,ThaiFootballs ,,
Iduy_ivanka,VikingUinJkt ,,
ApriNort33,VikingUinJkt ,,
ridwanabqori,AzzahrahSyifa_ ,,
ridwanabqori,persib ,,
HidayatAkus,AzzahrahSyifa_ ,,
indosportdotcom,ekowBoy ,,
FCBilham_Jersey,ekowBoy ,,
Alfarez_10,persib ,,
nadya_art23,persib ,,
IzanEzy,ThaiFootballs ,,
gerytoday,tribunjabar ,,
MorientesBudian,ThaiFootballs ,,
Naimvcu,Gilang_Mahesa ,,
Naimvcu,persib ,,
FOS_PERSIJA,IndosiarID ,,
FOS_PERSIJA,IndosiarSports ,,
Naimvcu,Bolalob ,,
Naimvcu,bonekcasuals ,,
Naimvcu,persib ,,
Naimvcu,persib ,,
akmal_ilham,ThaiFootballs ,,
achzam_prabu,ThaiFootballs ,,
gerytoday,VikingUinJkt ,,
Bobotoh695,VikingUinJkt ,,
Vianlux,AzzahrahSyifa_ ,,
Vianlux,persib ,,
fauzantulus,AzzahrahSyifa_ ,,
angrumfr,ekowBoy ,,
Naimvcu,ekowBoy ,,
Naimvcu,persib ,,
panjisubk,persib ,,
Bayu_maung,ThaiFootballs ,,
edwarsuharyadi,tribunjabar ,,
reginaldrasmus,ThaiFootballs ,,
reginaldrasmus,Gilang_Mahesa ,,
reginaldrasmus,persib ,,
ahmadlunadri,IndosiarID ,,
ahmadlunadri,IndosiarSports ,,
reginaldrasmus,Bolalob ,,
1933_mb,bonekcasuals ,,
1933_mb,persib ,,
hooliganbdg,persib ,,
kiw612,ThaiFootballs ,,
Kim28___,ThaiFootballs ,,
RickieUchiha,VikingUinJkt ,,
MaungFootball,VikingUinJkt ,,
Pantau_Com,AzzahrahSyifa_ ,,
Pantau_Com,persib ,,
JasierGoerbada,AzzahrahSyifa_ ,,
yanabool,ekowBoy ,,
gabrieladipr,ekowBoy ,,
dikar013,persib ,,
rochmatsubagja,persib ,,
ifsaneffendi,ThaiFootballs ,,
herawan_boma,tribunjabar ,,
YUDSUS,ThaiFootballs ,,
catitgoper,Gilang_Mahesa ,,
catitgoper,persib ,,
evhawolupithu,IndosiarID ,,
evhawolupithu,IndosiarSports ,,
sikkbageur,Bolalob ,,
reginaldrasmus,bonekcasuals ,,
reginaldrasmus,persib ,,
Amcs_teguh,persib ,,
KurniawanRicho,ThaiFootballs ,,
Beduuuurrr,ThaiFootballs ,,
abahnabudak,VikingUinJkt ,,
ysetiyono2,VikingUinJkt ,,
TiPersib,AzzahrahSyifa_ ,,
TiPersib,persib ,,
KurniawanRicho,AzzahrahSyifa_ ,,
Achyas_mauladi,ekowBoy ,,
atepmedjaya,ekowBoy ,,
pecinta_PERS1B,persib ,,
pecinta_PERS1B,persib ,,
akhi_syah,ThaiFootballs ,,
tossfmbandaaceh,tribunjabar ,,
Angga__Kun,ThaiFootballs ,,
rifkiardn,Gilang_Mahesa ,,
rifkiardn,persib ,,
atepmedjaya,IndosiarID ,,
atepmedjaya,IndosiarSports ,,
Iqbalt08,Bolalob ,,
Harian_Papua,bonekcasuals ,,
Harian_Papua,persib ,,
DhiqBekool,persib ,,
DhiqBekool,ThaiFootballs ,,
mx_dople,ThaiFootballs ,,
bang_BGS,VikingUinJkt ,,
ibnujayaraya,VikingUinJkt ,,
morielariell,AzzahrahSyifa_ ,,
morielariell,persib ,,
PERSIPURA_,AzzahrahSyifa_ ,,
07nanas,ekowBoy ,,
Thymantha_4,ekowBoy ,,
syafr1l,persib ,,
irwaninsomnia,persib ,,
kang_maman76,ThaiFootballs ,,
kang_maman76,tribunjabar ,,
Agustin75252281,ThaiFootballs ,,
olahragatempo,Gilang_Mahesa ,,
olahragatempo,persib ,,
tempodotco,IndosiarID ,,
tempodotco,IndosiarSports ,,
temponewsroom,Bolalob ,,
YaziedOranje,bonekcasuals ,,
YaziedOranje,persib ,,
TheJakm24624549,persib ,,
BolaBanget,ThaiFootballs ,,
korantempo,ThaiFootballs ,,
netralnews,VikingUinJkt ,,
nenisup_,VikingUinJkt ,,
akhi_syah,AzzahrahSyifa_ ,,
akhi_syah,persib ,,
faisalfansclub,AzzahrahSyifa_ ,,
faisalfansclub,ekowBoy ,,
AgisResahSka,ekowBoy ,,
zm_eleven,persib ,,
tilulima,persib ,,
triyan06,ThaiFootballs ,,
Zenal_Mumin8,tribunjabar ,,
alfianpiyek,ThaiFootballs ,,
lutfi_koshi,Gilang_Mahesa ,,
lutfi_koshi,persib ,,
catitgoper,IndosiarID ,,
catitgoper,IndosiarSports ,,
catitgoper,Bolalob ,,
JOKT_,bonekcasuals ,,
JOKT_,persib ,,
persi85alawasna,persib ,,
andinnph_,ThaiFootballs ,,
Irfan19863022,ThaiFootballs ,,
ventull_corexx,VikingUinJkt ,,
tilulima,VikingUinJkt ,,
JOKT_,AzzahrahSyifa_ ,,
JOKT_,persib ,,
RacHmanda33,AzzahrahSyifa_ ,,
Uca66922498,ekowBoy ,,
septiantirta73,ekowBoy ,,
Rizkyheruuuu,persib ,,
thebryantbronx,persib ,,
AzzahrahSyifa_,ThaiFootballs ,,
yeviara,tribunjabar ,,
BobotohPersib_,ThaiFootballs ,,
Football5star,Gilang_Mahesa ,,
Football5star,persib ,,
ppitashinta,IndosiarID ,,
ppitashinta,IndosiarSports ,,
ChavyTansa,Bolalob ,,
BahriSaepian,bonekcasuals ,,
BahriSaepian,persib ,,
tilulima,persib ,,
tilulima,ThaiFootballs ,,
SuaraPalembang,ThaiFootballs ,,
ebes_ngalam,VikingUinJkt ,,
TiPersib,VikingUinJkt ,,
arisavin18,AzzahrahSyifa_ ,,
arisavin18,persib ,,
UnyildFebriana,AzzahrahSyifa_ ,,
UnyildFebriana,ekowBoy ,,
ApriNort33,ekowBoy ,,
AzzahrahSyifa_,persib ,,
BolaBanget,persib ,,
daeng_bendo,ThaiFootballs ,,
GHerdianhidayat,tribunjabar ,,
natnatiaa,ThaiFootballs ,,
amang_persib,Gilang_Mahesa ,,
amang_persib,persib ,,
Agung_Armanda,IndosiarID ,,
Agung_Armanda,IndosiarSports ,,
riscuris,Bolalob ,,
eru_gisel,bonekcasuals ,,
eru_gisel,persib ,,
eru_gisel,persib ,,
heldi_bogor,ThaiFootballs ,,
SisilHariyadi13,ThaiFootballs ,,
NewsToday_ID,VikingUinJkt ,,
FeryPitra1933,VikingUinJkt ,,
Rahmahssss,AzzahrahSyifa_ ,,
Rahmahssss,persib ,,
Rahmahssss,AzzahrahSyifa_ ,,
Rahmahssss,ekowBoy ,,
Rahmahssss,ekowBoy ,,
nadliwildan,persib ,,
RenggaEleven,persib ,,
BennyMocca,ThaiFootballs ,,
MaungFootball,tribunjabar ,,
terasid,ThaiFootballs ,,
anwarsanusi137,Gilang_Mahesa ,,
anwarsanusi137,persib ,,
Azho33,IndosiarID ,,
Azho33,IndosiarSports ,,
BolaBanget,Bolalob ,,
ramdaninoor,bonekcasuals ,,
ramdaninoor,persib ,,
EdwinGunawan33,persib ,,
Ah_madrid_wan,ThaiFootballs ,,
GHerdianhidayat,ThaiFootballs ,,
republikaonline,VikingUinJkt ,,
Izhall33,VikingUinJkt ,,
FaisalR_10,AzzahrahSyifa_ ,,
FaisalR_10,persib ,,
GrahaLingga,AzzahrahSyifa_ ,,
VIKING_JABER,ekowBoy ,,
Naminagi,ekowBoy ,,
Restums_,persib ,,
kurosaki_ff19,persib ,,
dampiero10,ThaiFootballs ,,
GHerdianhidayat,tribunjabar ,,
dampiero10,ThaiFootballs ,,
Naminagi,Gilang_Mahesa ,,
Naminagi,persib ,,
bomber_online,IndosiarID ,,
bomber_online,IndosiarSports ,,
shela_ariyan796,Bolalob ,,
SaprudinDeden09,bonekcasuals ,,
SaprudinDeden09,persib ,,
akaryadi610,persib ,,
DendiSuryadi11,ThaiFootballs ,,
AsseVitto,ThaiFootballs ,,
SeputarBdgTimur,VikingUinJkt ,,
MaungFootball,VikingUinJkt ,,
reynaldiwp,AzzahrahSyifa_ ,,
reynaldiwp,persib ,,
sanit_muhammad,AzzahrahSyifa_ ,,
noviandy14,ekowBoy ,,
noviandy14,ekowBoy ,,
ang_danim,persib ,,
TiPersib,persib ,,
IrvanRiizky,ThaiFootballs ,,
PersibOficiall,tribunjabar ,,
nurilakbari_,ThaiFootballs ,,
dwiki_np16,Gilang_Mahesa ,,
dwiki_np16,persib ,,
dwiki_np16,IndosiarID ,,
dwiki_np16,IndosiarSports ,,
hijigemaung,Bolalob ,,
SaifulAbi28,bonekcasuals ,,
SaifulAbi28,persib ,,
SalomeGoreng5Rb,persib ,,
DerilFaslah26,ThaiFootballs ,,
DCouzlate,ThaiFootballs ,,
AS_Pamungkas23,VikingUinJkt ,,
Adi_zailani,VikingUinJkt ,,
MaungFootball,AzzahrahSyifa_ ,,
MaungFootball,persib ,,
Telatedan,AzzahrahSyifa_ ,,
Buoyantecstatic,ekowBoy ,,
Granitfathurro3,ekowBoy ,,
TiPersib,persib ,,
Hendrateaaa,persib ,,
rafiadr_,ThaiFootballs ,,
adiralston,tribunjabar ,,
bowmmu,ThaiFootballs ,,
BolaBanget,Gilang_Mahesa ,,
BolaBanget,persib ,,
KinnoisMe,IndosiarID ,,
KinnoisMe,IndosiarSports ,,
alifsaktiaji,Bolalob ,,
MisbahNurputra,bonekcasuals ,,
MisbahNurputra,persib ,,
GHerdianhidayat,persib ,,
AwolJeh,ThaiFootballs ,,
satriarizkip,ThaiFootballs ,,
RioIrawan25,VikingUinJkt ,,
satriarizkip,VikingUinJkt ,,
newagestein,AzzahrahSyifa_ ,,
newagestein,persib ,,
satriarizkip,AzzahrahSyifa_ ,,
satriarizkip,ekowBoy ,,
satriarizkip,ekowBoy ,,
satriarizkip,persib ,,
satriarizkip,persib ,,
rizkimahardika,ThaiFootballs ,,
Huda_RN,tribunjabar ,,
AndiRahmanSF,ThaiFootballs ,,
wishalabaqy,Gilang_Mahesa ,,
wishalabaqy,persib ,,
apriyusa2,IndosiarID ,,
apriyusa2,IndosiarSports ,,
PemudaRifuh,Bolalob ,,
apriyusa2,bonekcasuals ,,
apriyusa2,persib ,,
arlansmile26,persib ,,
ariefkusnadii,ThaiFootballs ,,
Alief_Bomber,ThaiFootballs ,,
dimeiraaaa,VikingUinJkt ,,
ahmad_fathoni4,VikingUinJkt ,,
officialvpmk07,AzzahrahSyifa_ ,,
officialvpmk07,persib ,,
TiPersib,AzzahrahSyifa_ ,,
rasiman_aja,ekowBoy ,,
imnoe723_,ekowBoy ,,
9hifaris,persib ,,
marhaenis33,persib ,,
Agung_Armanda,ThaiFootballs ,,
Agung_Armanda,tribunjabar ,,
BOBOTOHxBANDUNG,ThaiFootballs ,,
BOBOTOHxBANDUNG,Gilang_Mahesa ,,
BOBOTOHxBANDUNG,persib ,,
BOBOTOHxBANDUNG,IndosiarID ,,
BOBOTOHxBANDUNG,IndosiarSports ,,
BellBYTL,Bolalob ,,
BOBOTOHxBANDUNG,bonekcasuals ,,
BOBOTOHxBANDUNG,persib ,,
BOBOTOHxBANDUNG,persib ,,
BOBOTOHxBANDUNG,ThaiFootballs ,,
Agung_Armanda,ThaiFootballs ,,
BOBOTOHxBANDUNG,VikingUinJkt ,,
Agung_Armanda,VikingUinJkt ,,
Agung_Armanda,AzzahrahSyifa_ ,,
Agung_Armanda,persib ,,
Banyolan_Subang,AzzahrahSyifa_ ,,
tapigagal,ekowBoy ,,
Vyann_,ekowBoy ,,
impunyoewono,persib ,,
JrBobotoh,persib ,,
abuy1933,ThaiFootballs ,,
Agung_Armanda,tribunjabar ,,
JrBobotoh,ThaiFootballs ,,
SeptArdiartha_,Gilang_Mahesa ,,
SeptArdiartha_,persib ,,
odangwow,IndosiarID ,,
odangwow,IndosiarSports ,,
jurnalis_selow,Bolalob ,,
MaungFootball,bonekcasuals ,,
MaungFootball,persib ,,
andiazpi,persib ,,
Barna_byo,ThaiFootballs ,,
WardiaAndie,ThaiFootballs ,,
jpnncom,VikingUinJkt ,,
SaveOurPersija,VikingUinJkt ,,
dindinsyahrudin,AzzahrahSyifa_ ,,
dindinsyahrudin,persib ,,
masdefry,AzzahrahSyifa_ ,,
SaveOurPersija,ekowBoy ,,
TiPersib,ekowBoy ,,
lutfifh07,persib ,,
Syahrialazmii,persib ,,
Priatama_7RS,ThaiFootballs ,,
aufanurul13,tribunjabar ,,
Priatama_7RS,ThaiFootballs ,,
abuy1933,Gilang_Mahesa ,,
abuy1933,persib ,,
AsepAsepsae86,IndosiarID ,,
AsepAsepsae86,IndosiarSports ,,
Priatama_7RS,Bolalob ,,
CallmeBejo,bonekcasuals ,,
CallmeBejo,persib ,,
Sekarwangi_82,persib ,,
AsepAsepsae86,ThaiFootballs ,,
EndangJaenudi19,ThaiFootballs ,,
dzikrimuhammady,VikingUinJkt ,,
abuy1933,VikingUinJkt ,,
Risma1933,AzzahrahSyifa_ ,,
Risma1933,persib ,,
shela_ariyan796,AzzahrahSyifa_ ,,
ladies_Wani,ekowBoy ,,
DekiFaisaL,ekowBoy ,,
taufiksatriyad2,persib ,,
AsepAsepsae86,persib ,,
avriansyah__,ThaiFootballs ,,
uan_16,tribunjabar ,,
AsepAsepsae86,ThaiFootballs ,,
_persibpersija,Gilang_Mahesa ,,
_persibpersija,persib ,,
hczky,IndosiarID ,,
hczky,IndosiarSports ,,
ladies_Wani,Bolalob ,,
BOBOTOHxBANDUNG,bonekcasuals ,,
BOBOTOHxBANDUNG,persib ,,
BOBOTOHxBANDUNG,persib ,,
AjirRcs,ThaiFootballs ,,
shoyajihadlass,ThaiFootballs ,,
aliazisakbar_,VikingUinJkt ,,
boberwinn,VikingUinJkt ,,
Aldi_Bachtiar27,AzzahrahSyifa_ ,,
Aldi_Bachtiar27,persib ,,
aliazisakbar_,AzzahrahSyifa_ ,,
ladies_Wani,ekowBoy ,,
mzyflh,ekowBoy ,,
adiralston,persib ,,
aliazisakbar_,persib ,,
AjirRcs,ThaiFootballs ,,
abangryan_,tribunjabar ,,
MaungFootball,ThaiFootballs ,,
Darwin45853708,Gilang_Mahesa ,,
Darwin45853708,persib ,,
ladies_Wani,IndosiarID ,,
ladies_Wani,IndosiarSports ,,
duha_1928,Bolalob ,,
tiara_prsb,bonekcasuals ,,
tiara_prsb,persib ,,
BaleendahBoys33,persib ,,
AOknum,ThaiFootballs ,,
fadli3393,ThaiFootballs ,,
easterncasuals,VikingUinJkt ,,
Vino_RvF,VikingUinJkt ,,
acengcb,AzzahrahSyifa_ ,,
acengcb,persib ,,
ladies_Wani,AzzahrahSyifa_ ,,
ferdy_ferry,ekowBoy ,,
rachmatsakhdan,ekowBoy ,,
DickeyAriftia_,persib ,,
AbdoelMadjid,persib ,,
InfoBDGKita,ThaiFootballs ,,
dinnyxdea33,tribunjabar ,,
gabrielkenang,ThaiFootballs ,,
a_narindra,Gilang_Mahesa ,,
a_narindra,persib ,,
ladies_Wani,IndosiarID ,,
ladies_Wani,IndosiarSports ,,
JKT_SMPTSN,Bolalob ,,
syauqirahman10,bonekcasuals ,,
syauqirahman10,persib ,,
Bukanetizen_,persib ,,
beritabandung1,ThaiFootballs ,,
beritabandung1,ThaiFootballs ,,
Iki2x,VikingUinJkt ,,
y2n709,VikingUinJkt ,,
Vsb_bekasi,AzzahrahSyifa_ ,,
Vsb_bekasi,persib ,,
sikohcu,AzzahrahSyifa_ ,,
AjirRcs,ekowBoy ,,
tiara_prsb,ekowBoy ,,
diee_kuswandy,persib ,,
SaveOurPersija,persib ,,
diee_kuswandy,ThaiFootballs ,,
HPratama97,tribunjabar ,,
SaveOurPersija,ThaiFootballs ,,
irwanBFL,Gilang_Mahesa ,,
irwanBFL,persib ,,
fabianfadhil06,IndosiarID ,,
fabianfadhil06,IndosiarSports ,,
ladies_Wani,Bolalob ,,
murny7,bonekcasuals ,,
murny7,persib ,,
ladies_Wani,persib ,,
Asep_astito,ThaiFootballs ,,
indrazitender,ThaiFootballs ,,
firmansyahbeut1,VikingUinJkt ,,
ladies_Wani,VikingUinJkt ,,
TonyPermana3,AzzahrahSyifa_ ,,
TonyPermana3,persib ,,
Dohenkk,AzzahrahSyifa_ ,,
BaleendahBoys33,ekowBoy ,,
ladies_Wani,ekowBoy ,,
bcmerch33,persib ,,
ariariariamet,persib ,,
Helmyname,ThaiFootballs ,,
ladies_Wani,tribunjabar ,,
afriyanto__,ThaiFootballs ,,
Gigih95s,Gilang_Mahesa ,,
Gigih95s,persib ,,
maungleungsir33,IndosiarID ,,
maungleungsir33,IndosiarSports ,,
Betz_alkatiri,Bolalob ,,
ladies_Wani,bonekcasuals ,,
ladies_Wani,persib ,,
WismaBeritaCom,persib ,,
ryusron90,ThaiFootballs ,,
ZahZahrahan,ThaiFootballs ,,
BOBOTOHxBANDUNG,VikingUinJkt ,,
BOBOTOHxBANDUNG,VikingUinJkt ,,
rianblue63,AzzahrahSyifa_ ,,
rianblue63,persib ,,
BOBOTOHxBANDUNG,AzzahrahSyifa_ ,,
septiananwar93,ekowBoy ,,
GolzJunior,ekowBoy ,,
Doenk666,persib ,,
Abiet3393,persib ,,
SimaSiliwangi33,ThaiFootballs ,,
AsepZak23105129,tribunjabar ,,
ab173323,ThaiFootballs ,,
Oglenkaphey1,Gilang_Mahesa ,,
Oglenkaphey1,persib ,,
MaungFootball,IndosiarID ,,
MaungFootball,IndosiarSports ,,
Oglenkaphey1,Bolalob ,,
KotaPalembangKu,bonekcasuals ,,
KotaPalembangKu,persib ,,
ganjaaar,persib ,,
Abiet3393,ThaiFootballs ,,
Luthfyfalsyah7,ThaiFootballs ,,
oguthaddict,VikingUinJkt ,,
maungleungsir33,VikingUinJkt ,,
ladies_Wani,AzzahrahSyifa_ ,,
ladies_Wani,persib ,,
afriyanto__,AzzahrahSyifa_ ,,
luthvieakhmad2,ekowBoy ,,
satyagin,ekowBoy ,,
Dputraaditya,persib ,,
YusufIskandar32,persib ,,
BandarZuher,ThaiFootballs ,,
ukis86,tribunjabar ,,
iwandisanguann,ThaiFootballs ,,
ulfiyana_shella,Gilang_Mahesa ,,
ulfiyana_shella,persib ,,
isiklepon,IndosiarID ,,
isiklepon,IndosiarSports ,,
siiyappp,Bolalob ,,
ladies_Wani,bonekcasuals ,,
ladies_Wani,persib ,,
Bobotohbaksum,persib ,,
EkaBudiH24,ThaiFootballs ,,
Agay49417141,ThaiFootballs ,,
senheroic,VikingUinJkt ,,
afriyanto__,VikingUinJkt ,,
drilesmana_,AzzahrahSyifa_ ,,
drilesmana_,persib ,,
ladies_Wani,AzzahrahSyifa_ ,,
zakycrot,ekowBoy ,,
SimaSiliwangi33,ekowBoy ,,
M_Ilyas22,persib ,,
Agay49417141,persib ,,
TiPersib,ThaiFootballs ,,
WidianIlham,tribunjabar ,,
AgumPratama_,ThaiFootballs ,,
hermansu_,Gilang_Mahesa ,,
hermansu_,persib ,,
ladies_Wani,IndosiarID ,,
ladies_Wani,IndosiarSports ,,
Ryanagung22,Bolalob ,,
harubirupersib,bonekcasuals ,,
harubirupersib,persib ,,
